"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";
"1";"";"HEADER-1X12";"1X12_ROUND";"JP3";"";"";
"1";"";"HEADER-1X16ROUND";"1X16_ROUND";"JP1";"PIN HEADER";"";
"2";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"TP1, TP2";"Test Point";"";
"1";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"R6";"Resistors";"";
"2";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"R1, R3";"Resistors";"";
"1";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"R5";"Resistors";"";
"1";"10K\";"RESISTOR_0603_NOOUT";"0603-NO";"R8";"Resistors";"";
"1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C5";"Ceramic Capacitors";"";
"3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C3, C6, C8";"Ceramic Capacitors";"";
"1";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"R2";"Resistors";"";
"3";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"C1, C7, C14";"Ceramic Capacitors";"";
"1";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"R7";"Resistors";"";
"2";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"C2, C4";"Ceramic Capacitors";"";
"1";"2MB Flash";"SPIFLASH_SOIC8208MIL";"SOIC8_208MIL";"U1";"SOIC8 SPI Flash";"";
"1";"32.768";"XTAL-3.2X1.5";"XTAL3215";"X2";"Low cost SMT crystals, no capacitors included";"";
"1";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"U2";"SOT23-5 Fixed Voltage Regulators";"";
"1";"ATSAMD21G18_QFN";"ATSAMD21G_QFN";"TQFN48_7MM";"U$4";"";"";
"2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"U$34, U$35";"Fiducial Alignment Points";"EXCLUDE";
"1";"JSTPH";"CON_JST_PH_2PIN";"JSTPH2";"X1";"JST 2-Pin Right-Angle Connector";"";
"1";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"D1";"";"";
"1";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"U3";"MCP73831/2 LIPO Charger";"";
"2";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"U$31, U$32";"Mounting Hole";"EXCLUDE";
"1";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"CHG";"LED";"";
"1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"L";"LED";"";
"1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SW1";"SMT 6mm switch, EVQQ2 series";"";
"1";"WS2812B3535";"WS2812B3535";"LED3535";"LED1";"";"";
"1";"microUSB";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"X3";"USB Connectors";"";
