Reference, Quantity, Value, Footprint, Datasheet, Description
C1 C3 C9 ,3,"10µF","OSHwi:C_0805_HandSoldering",""
C11 ,1,"0.1uF","Adafruit 0.96in 160x80 TFT Display:0805-NO",""
C4 C2 C5 ,3,"1uF","OSHwi:C_0805_HandSoldering",""
C6 ,1,"10uF","OSHwi:C_0805_HandSoldering",""
C7 C8 ,2,"22pF","OSHwi:C_0805_HandSoldering",""
CHG1 ,1,"ORANGE","OSHwi:LED_0805","~"
CN1 ,1,"MICROSD","Adafruit 0.96in 160x80 TFT Display:MICROSD",""
D1 ,1,"MBRA120","OSHwi:D_SOD-123","","DIODE SCHOTTKY MBRA120 SMA"
IC1 ,1,"APX803","Adafruit 0.96in 160x80 TFT Display:SOT23",""
JP1 ,1,"HEADER-1X12","Oshwi_M0:1X12_ROUND",""
JP2 ,1,"HEADER-1X16ROUND","Oshwi_M0:1X16_ROUND",""
JP3 ,1,"HEADER-1X11","Adafruit 0.96in 160x80 TFT Display:1X11_ROUND",""
L1 ,1,"RED","OSHwi:LED_0805","~"
LED1 ,1,"WS2812B3535","OSHwi:WS2812B",""
PTC1 ,1,"500mA","",""
Q1 ,1,"MMBT2222","Adafruit 0.96in 160x80 TFT Display:SOT23-WIDE",""
R1 R6 ,2,"100k","OSHwi:R_0805_HandSoldering",""
R10 ,1,"22","Adafruit 0.96in 160x80 TFT Display:0603-NO",""
R3 ,1,"1K","OSHwi:R_0805_HandSoldering",""
R4 R2 ,2,"10K","OSHwi:R_0805_HandSoldering",""
R5 ,1,"2.2K","OSHwi:R_0805_HandSoldering",""
R7 ,1,"100K","OSHwi:R_0805_HandSoldering",""
R8 R11 ,2,"10K","Adafruit 0.96in 160x80 TFT Display:0603-NO",""
R9 ,1,"1K","Adafruit 0.96in 160x80 TFT Display:0603-NO",""
SW1 ,1,"SW_Push","OSHwi:SW_SPST_B3U-1000P","~"
TP1 TP2 ,2,"TESTPOINTROUND1.5MM","Oshwi_M0:TESTPOINT_ROUND_1.5MM",""
U$1 ,1,"ATSAMD21G18_QFN","Oshwi_M0:TQFN48_7MM",""
U$2 ,1,"DISP_LCD_0.9IN_160X80","Adafruit 0.96in 160x80 TFT Display:TFT_0.96IN_160X80",""
U1 ,1,"AP2112-3.3","OSHwi:SOT-23-5_HandSoldering",""
U2 ,1,"MCP73831T-2ACI/OT","OSHwi:SOT-23-5_HandSoldering",""
U3 ,1,"2MB Flash","Oshwi_M0:SOIC8_208MIL",""
U5 ,1,"74HC4050D","Adafruit 0.96in 160x80 TFT Display:SOIC16",""
X1 ,1,"JSTPH","Oshwi_M0:JSTPH2",""
X2 ,1,"32.768","Oshwi_M0:XTAL3215",""
X3 ,1,"microUSB","Oshwi_M0:4UCONN_20329_V2",""
