Reference, Value, Footprint, Datasheet, Description, MF_Name, MF_PN, S1_Name, S1_PN, Availability, Package, MP, MF
C1,100nF-0.1uF,Capacitors_SMD:C_0805_HandSoldering,,,,,,,,,,
C2,10nF-0.01uF,Capacitors_SMD:C_0805_HandSoldering,,,,,,,,,,
C3,100uF,Capacitors_SMD:C_0805_HandSoldering,,,,,,,,,,
C4,10nF-0.01uF,Capacitors_SMD:C_0805_HandSoldering,,,,,,,,,,
D1,DIODE-SCHOTTKY-mbr120,Diodes_SMD:D_SOD-123,,DIODE SCHOTTKY MBR120,,,,,,,,
D2,RED,LEDs:LED_1206,,,,,,,,,,
J1,CONN_01X02,Connectors_JST:JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled,,,,,,,,,,
J10,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J11,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J12,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J13,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J14,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J15,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J16,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J2,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J3,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J4,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J5,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J6,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J7,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J8,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
J9,TEST_1P,Wickerlib:CONN-HEADER-STRAIGHT-P2.54MM-1x01,,,,,,,,,,
LED1,LED-RGB-WS2812B-4SMD,Wickerlib:LED-RGB-5050-SMD,http://www.adafruit.com/datasheets/WS2812B.pdf,LED RGB WS2812B W/DVR 4SMD,Adafruit,1655,Digikey,1528-1104-ND,,,,
LED2,LED-RGB-WS2812B-4SMD,Wickerlib:LED-RGB-5050-SMD,http://www.adafruit.com/datasheets/WS2812B.pdf,LED RGB WS2812B W/DVR 4SMD,Adafruit,1655,Digikey,1528-1104-ND,,,,
LED3,LED-RGB-WS2812B-4SMD,Wickerlib:LED-RGB-5050-SMD,http://www.adafruit.com/datasheets/WS2812B.pdf,LED RGB WS2812B W/DVR 4SMD,Adafruit,1655,Digikey,1528-1104-ND,,,,
LED4,LED-RGB-WS2812B-4SMD,Wickerlib:LED-RGB-5050-SMD,http://www.adafruit.com/datasheets/WS2812B.pdf,LED RGB WS2812B W/DVR 4SMD,Adafruit,1655,Digikey,1528-1104-ND,,,,
LED5,LED-RGB-WS2812B-4SMD,Wickerlib:LED-RGB-5050-SMD,http://www.adafruit.com/datasheets/WS2812B.pdf,LED RGB WS2812B W/DVR 4SMD,Adafruit,1655,Digikey,1528-1104-ND,,,,
R1,10k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
R2,1k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
R3,10k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
R4,10k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
R5,10k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
R6,10k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
R7,10k,Resistors_SMD:R_0805_HandSoldering,,,,,,,,,,
SW1,USER/PROG,kmr2:SW_SPST_KMR2,http://www.omron.com/ecb/products/pdf/en-b3fs_4.pdf,SWITCH MOMENT SPST-NO 0.05A 24V SMT B3FS-4002P,Omron,B3F-4002P,Digikey,SW1278CT-ND,,,,
SW2,RESET,kmr2:SW_SPST_KMR2,http://www.omron.com/ecb/products/pdf/en-b3fs_4.pdf,SWITCH MOMENT SPST-NO 0.05A 24V SMT B3FS-4002P,Omron,B3F-4002P,Digikey,SW1278CT-ND,,,,
U1,ESP-12,ESP8266:ESP-12S_SMD,,,,,,,,,,
U2,SPX3819M5-L-1-8,TO_SOT_Packages_SMD:SOT-23-5_HandSoldering,0.54 USD,SPX3819 Series 1.5 V Fixed Output 500 mA SMT LDO Voltage Regulator - SOT-23-5,,,,,Good,SOT-23-5 Exar,SPX3819M5-L-1-5,Exar
